"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1961-Q1",3.92207702349585,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1961-Q2",4.01941969115513,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1961-Q3",1.24949817947325,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1961-Q4",0.045571487607295,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1962-Q1",-0.0560005852016075,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1962-Q2",-1.23930466105915,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1962-Q3",-0.0527784092927906,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1962-Q4",0.0830778751932214,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1963-Q1",-0.0739058427223307,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1963-Q2",0.0248460131716642,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1963-Q3",1.29252796909748,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1963-Q4",1.32275443258954,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1964-Q1",2.51499752324589,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1964-Q2",2.56193334160959,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1964-Q3",2.53176977951968,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1964-Q4",3.84865509175372,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1965-Q1",2.43961337961344,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1965-Q2",3.75511242255646,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1965-Q3",3.72249777165651,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1965-Q4",3.6930544113283,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1966-Q1",4.84432626476537,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1966-Q2",3.6021782362073,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1966-Q3",2.36498031033813,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1966-Q4",2.41459982106668,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1967-Q1",2.28849769412084,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1967-Q2",3.49979530136177,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1967-Q3",4.65946893530963,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1967-Q4",3.4642035939109,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1968-Q1",3.41143817423519,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1968-Q2",2.29842672306059,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1968-Q3",2.17165693029307,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1968-Q4",2.22192986902019,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1969-Q1",3.32571391461875,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1969-Q2",3.37702570147148,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1969-Q3",3.20832633031892,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1969-Q4",3.20519087875225,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1970-Q1",2.22039195159641,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1970-Q2",3.23380456632696,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1970-Q3",3.09689481568853,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1970-Q4",5.18776605840597,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1971-Q1",5.31802577580272,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1971-Q2",5.15632376355013,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1971-Q3",7.10842298034926,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1971-Q4",6.93121536802585,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1972-Q1",7.0093024040207,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1972-Q2",6.81680506876178,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1972-Q3",5.72455245502613,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1972-Q4",4.62792052624398,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1973-Q1",5.56169276094913,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1973-Q2",8.22443721106948,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1973-Q3",9.98434135141437,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1973-Q4",12.4641024082906,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1974-Q1",14.0046586408859,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1974-Q2",14.3572391923791,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1974-Q3",16.5422152082403,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1974-Q4",16.6038925839769,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1975-Q1",17.6378780074546,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1975-Q2",17.0124474904448,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1975-Q3",12.100508349955,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1975-Q4",14.2241802865816,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1976-Q1",13.0499337963793,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1976-Q2",11.9972410029075,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1976-Q3",13.9529798488633,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1976-Q4",14.2259184611579,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1977-Q1",13.3011249430981,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1977-Q2",13.5318284888474,
"AUS","CPIFORECAST","TOT","AGRWTH","Q","1977-Q3",13.2911125425394,
