"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","BRA","Brazil","Q","Quarterly","1996-Q4","Q4-1996","PC","Percentage","0","Units",,,25.34,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","BRA","Brazil","Q","Quarterly","1997-Q1","Q1-1997","PC","Percentage","0","Units",,,23.87,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","BRA","Brazil","Q","Quarterly","1997-Q2","Q2-1997","PC","Percentage","0","Units",,,23.58,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","BRA","Brazil","Q","Quarterly","1997-Q3","Q3-1997","PC","Percentage","0","Units",,,23.58,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","BRA","Brazil","Q","Quarterly","1997-Q4","Q4-1997","PC","Percentage","0","Units",,,45.09,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","BRA","Brazil","Q","Quarterly","1998-Q1","Q1-1998","PC","Percentage","0","Units",,,38.54,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","BRA","Brazil","Q","Quarterly","1998-Q2","Q2-1998","PC","Percentage","0","Units",,,29.41,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","BRA","Brazil","Q","Quarterly","1998-Q3","Q3-1998","PC","Percentage","0","Units",,,42.34,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","BRA","Brazil","Q","Quarterly","1998-Q4","Q4-1998","PC","Percentage","0","Units",,,39.41,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","BRA","Brazil","Q","Quarterly","1999-Q1","Q1-1999","PC","Percentage","0","Units",,,46,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","BRA","Brazil","Q","Quarterly","1999-Q2","Q2-1999","PC","Percentage","0","Units",,,21,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","BRA","Brazil","Q","Quarterly","1999-Q3","Q3-1999","PC","Percentage","0","Units",,,19,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","BRA","Brazil","Q","Quarterly","1999-Q4","Q4-1999","PC","Percentage","0","Units",,,19,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","BRA","Brazil","Q","Quarterly","2000-Q1","Q1-2000","PC","Percentage","0","Units",,,18.5,,
