"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1968-Q1","Q1-1968","PC","Percentage","0","Units",,,5.133333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1968-Q2","Q2-1968","PC","Percentage","0","Units",,,5.316667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1968-Q3","Q3-1968","PC","Percentage","0","Units",,,5.083333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1968-Q4","Q4-1968","PC","Percentage","0","Units",,,4.933333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1969-Q1","Q1-1969","PC","Percentage","0","Units",,,5.116667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1969-Q2","Q2-1969","PC","Percentage","0","Units",,,5.6,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1969-Q3","Q3-1969","PC","Percentage","0","Units",,,5.9,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1969-Q4","Q4-1969","PC","Percentage","0","Units",,,5.65,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1970-Q1","Q1-1970","PC","Percentage","0","Units",,,6.416667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1970-Q2","Q2-1970","PC","Percentage","0","Units",,,8.8,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1970-Q3","Q3-1970","PC","Percentage","0","Units",,,6.85,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1970-Q4","Q4-1970","PC","Percentage","0","Units",,,6.366667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1971-Q1","Q1-1971","PC","Percentage","0","Units",,,7.4,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1971-Q2","Q2-1971","PC","Percentage","0","Units",,,7.916667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1971-Q3","Q3-1971","PC","Percentage","0","Units",,,6.65,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1971-Q4","Q4-1971","PC","Percentage","0","Units",,,6.066667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1972-Q1","Q1-1972","PC","Percentage","0","Units",,,5.533333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1972-Q2","Q2-1972","PC","Percentage","0","Units",,,5.616667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1972-Q3","Q3-1972","PC","Percentage","0","Units",,,4.566667,,
