"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","P51A","Gross fixed capital formation by asset","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1959-Q3","Q3-1959","AUD","Australian Dollar","6","Millions",,,1146,,
"AUS","Australia","P51A","Gross fixed capital formation by asset","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1959-Q4","Q4-1959","AUD","Australian Dollar","6","Millions",,,1238,,
"AUS","Australia","P51A","Gross fixed capital formation by asset","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1960-Q1","Q1-1960","AUD","Australian Dollar","6","Millions",,,1210,,
"AUS","Australia","P51A","Gross fixed capital formation by asset","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1960-Q2","Q2-1960","AUD","Australian Dollar","6","Millions",,,1434,,
"AUS","Australia","P51A","Gross fixed capital formation by asset","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1960-Q3","Q3-1960","AUD","Australian Dollar","6","Millions",,,1313,,
"AUS","Australia","P51A","Gross fixed capital formation by asset","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1960-Q4","Q4-1960","AUD","Australian Dollar","6","Millions",,,1366,,
"AUS","Australia","P51A","Gross fixed capital formation by asset","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1961-Q1","Q1-1961","AUD","Australian Dollar","6","Millions",,,1234,,
"AUS","Australia","P51A","Gross fixed capital formation by asset","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1961-Q2","Q2-1961","AUD","Australian Dollar","6","Millions",,,1410,,
"AUS","Australia","P51A","Gross fixed capital formation by asset","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1961-Q3","Q3-1961","AUD","Australian Dollar","6","Millions",,,1329,,
"AUS","Australia","P51A","Gross fixed capital formation by asset","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1961-Q4","Q4-1961","AUD","Australian Dollar","6","Millions",,,1320,,
"AUS","Australia","P51A","Gross fixed capital formation by asset","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1962-Q1","Q1-1962","AUD","Australian Dollar","6","Millions",,,1239,,
"AUS","Australia","P51A","Gross fixed capital formation by asset","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1962-Q2","Q2-1962","AUD","Australian Dollar","6","Millions",,,1412,,
