"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GFCF","TOT","QGRWTH","Q","1960-Q2",1.997896951,
"AUS","GFCF","TOT","QGRWTH","Q","1960-Q3",0.309278351,
"AUS","GFCF","TOT","QGRWTH","Q","1960-Q4",4.496402878,
"AUS","GFCF","TOT","QGRWTH","Q","1961-Q1",1.253995574,
"AUS","GFCF","TOT","QGRWTH","Q","1961-Q2",1.278937996,
"AUS","GFCF","TOT","QGRWTH","Q","1961-Q3",2.06202046,
"AUS","GFCF","TOT","QGRWTH","Q","1961-Q4",-4.698512138,
"AUS","GFCF","TOT","QGRWTH","Q","1962-Q1",2.02136401,
"AUS","GFCF","TOT","QGRWTH","Q","1962-Q2",-1.312822165,
"AUS","GFCF","TOT","QGRWTH","Q","1962-Q3",4.782502244,
"AUS","GFCF","TOT","QGRWTH","Q","1962-Q4",0.101253992,
"AUS","GFCF","TOT","QGRWTH","Q","1963-Q1",4.886399004,
"AUS","GFCF","TOT","QGRWTH","Q","1963-Q2",0.43768546,
"AUS","GFCF","TOT","QGRWTH","Q","1963-Q3",2.526035896,
"AUS","GFCF","TOT","QGRWTH","Q","1963-Q4",2.968085873,
"AUS","GFCF","TOT","QGRWTH","Q","1964-Q1",0.489750227,
"AUS","GFCF","TOT","QGRWTH","Q","1964-Q2",5.200863329,
"AUS","GFCF","TOT","QGRWTH","Q","1964-Q3",-0.635340834,
"AUS","GFCF","TOT","QGRWTH","Q","1964-Q4",1.565205808,
"AUS","GFCF","TOT","QGRWTH","Q","1965-Q1",1.750934488,
"AUS","GFCF","TOT","QGRWTH","Q","1965-Q2",4.292343387,
"AUS","GFCF","TOT","QGRWTH","Q","1965-Q3",1.674700284,
"AUS","GFCF","TOT","QGRWTH","Q","1965-Q4",1.385765514,
"AUS","GFCF","TOT","QGRWTH","Q","1966-Q1",2.457886218,
"AUS","GFCF","TOT","QGRWTH","Q","1966-Q2",-1.843075303,
"AUS","GFCF","TOT","QGRWTH","Q","1966-Q3",3.850739151,
"AUS","GFCF","TOT","QGRWTH","Q","1966-Q4",-0.114797383,
"AUS","GFCF","TOT","QGRWTH","Q","1967-Q1",1.631996322,
"AUS","GFCF","TOT","QGRWTH","Q","1967-Q2",1.243921746,
"AUS","GFCF","TOT","QGRWTH","Q","1967-Q3",3.010164191,
"AUS","GFCF","TOT","QGRWTH","Q","1967-Q4",0.47167254,
"AUS","GFCF","TOT","QGRWTH","Q","1968-Q1",3.410317289,
"AUS","GFCF","TOT","QGRWTH","Q","1968-Q2",1.581089543,
"AUS","GFCF","TOT","QGRWTH","Q","1968-Q3",0.857862023,
"AUS","GFCF","TOT","QGRWTH","Q","1968-Q4",2.485484364,
"AUS","GFCF","TOT","QGRWTH","Q","1969-Q1",-0.352847629,
"AUS","GFCF","TOT","QGRWTH","Q","1969-Q2",2.907585657,
"AUS","GFCF","TOT","QGRWTH","Q","1969-Q3",-0.513715227,
"AUS","GFCF","TOT","QGRWTH","Q","1969-Q4",1.704988309,
"AUS","GFCF","TOT","QGRWTH","Q","1970-Q1",-1.312386244,
"AUS","GFCF","TOT","QGRWTH","Q","1970-Q2",2.261696758,
"AUS","GFCF","TOT","QGRWTH","Q","1970-Q3",-0.96345515,
"AUS","GFCF","TOT","QGRWTH","Q","1970-Q4",1.830641683,
"AUS","GFCF","TOT","QGRWTH","Q","1971-Q1",3.171913972,
"AUS","GFCF","TOT","QGRWTH","Q","1971-Q2",-0.93965242,
"AUS","GFCF","TOT","QGRWTH","Q","1971-Q3",4.116590689,
"AUS","GFCF","TOT","QGRWTH","Q","1971-Q4",-3.171022953,
"AUS","GFCF","TOT","QGRWTH","Q","1972-Q1",-0.694254134,
"AUS","GFCF","TOT","QGRWTH","Q","1972-Q2",0.795694968,
"AUS","GFCF","TOT","QGRWTH","Q","1972-Q3",1.825233858,
"AUS","GFCF","TOT","QGRWTH","Q","1972-Q4",0.725969079,
"AUS","GFCF","TOT","QGRWTH","Q","1973-Q1",2.264537082,
"AUS","GFCF","TOT","QGRWTH","Q","1973-Q2",0.417645523,
"AUS","GFCF","TOT","QGRWTH","Q","1973-Q3",1.633307339,
"AUS","GFCF","TOT","QGRWTH","Q","1973-Q4",3.20132998,
"AUS","GFCF","TOT","QGRWTH","Q","1974-Q1",0.214787278,
"AUS","GFCF","TOT","QGRWTH","Q","1974-Q2",-6.001154068,
"AUS","GFCF","TOT","QGRWTH","Q","1974-Q3",-2.740506884,
"AUS","GFCF","TOT","QGRWTH","Q","1974-Q4",-0.996348226,
"AUS","GFCF","TOT","QGRWTH","Q","1975-Q1",0.769581056,
"AUS","GFCF","TOT","QGRWTH","Q","1975-Q2",1.197523612,
"AUS","GFCF","TOT","QGRWTH","Q","1975-Q3",1.214611057,
"AUS","GFCF","TOT","QGRWTH","Q","1975-Q4",-0.758845848,
"AUS","GFCF","TOT","QGRWTH","Q","1976-Q1",2.125011114,
"AUS","GFCF","TOT","QGRWTH","Q","1976-Q2",2.642347205,
"AUS","GFCF","TOT","QGRWTH","Q","1976-Q3",-1.777004962,
"AUS","GFCF","TOT","QGRWTH","Q","1976-Q4",5.038860104,
"AUS","GFCF","TOT","QGRWTH","Q","1977-Q1",-1.035886053,
"AUS","GFCF","TOT","QGRWTH","Q","1977-Q2",-1.495327103,
"AUS","GFCF","TOT","QGRWTH","Q","1977-Q3",3.166772085,
"AUS","GFCF","TOT","QGRWTH","Q","1977-Q4",-1.508215483,
"AUS","GFCF","TOT","QGRWTH","Q","1978-Q1",2.552184919,
"AUS","GFCF","TOT","QGRWTH","Q","1978-Q2",3.820006475,
"AUS","GFCF","TOT","QGRWTH","Q","1978-Q3",2.061895853,
"AUS","GFCF","TOT","QGRWTH","Q","1978-Q4",3.540194768,
"AUS","GFCF","TOT","QGRWTH","Q","1979-Q1",1.645028032,
"AUS","GFCF","TOT","QGRWTH","Q","1979-Q2",0.685826257,
"AUS","GFCF","TOT","QGRWTH","Q","1979-Q3",-2.281327711,
"AUS","GFCF","TOT","QGRWTH","Q","1979-Q4",2.611197168,
"AUS","GFCF","TOT","QGRWTH","Q","1980-Q1",0.880598088,
"AUS","GFCF","TOT","QGRWTH","Q","1980-Q2",2.326575694,
"AUS","GFCF","TOT","QGRWTH","Q","1980-Q3",7.242339833,
"AUS","GFCF","TOT","QGRWTH","Q","1980-Q4",0.603896104,
"AUS","GFCF","TOT","QGRWTH","Q","1981-Q1",3.253082037,
"AUS","GFCF","TOT","QGRWTH","Q","1981-Q2",0.737638307,
"AUS","GFCF","TOT","QGRWTH","Q","1981-Q3",4.294135898,
"AUS","GFCF","TOT","QGRWTH","Q","1981-Q4",2.24906289,
"AUS","GFCF","TOT","QGRWTH","Q","1982-Q1",-0.683735816,
"AUS","GFCF","TOT","QGRWTH","Q","1982-Q2",-3.240076168,
"AUS","GFCF","TOT","QGRWTH","Q","1982-Q3",-2.618910654,
"AUS","GFCF","TOT","QGRWTH","Q","1982-Q4",-3.087302574,
"AUS","GFCF","TOT","QGRWTH","Q","1983-Q1",-5.270924898,
"AUS","GFCF","TOT","QGRWTH","Q","1983-Q2",-0.145624492,
"AUS","GFCF","TOT","QGRWTH","Q","1983-Q3",4.571816178,
"AUS","GFCF","TOT","QGRWTH","Q","1983-Q4",2.614082314,
"AUS","GFCF","TOT","QGRWTH","Q","1984-Q1",1.520275609,
"AUS","GFCF","TOT","QGRWTH","Q","1984-Q2",5.768991283,
"AUS","GFCF","TOT","QGRWTH","Q","1984-Q3",-1.754334324,
"AUS","GFCF","TOT","QGRWTH","Q","1984-Q4",2.519699194,
"AUS","GFCF","TOT","QGRWTH","Q","1985-Q1",6.765445087,
"AUS","GFCF","TOT","QGRWTH","Q","1985-Q2",0.708948074,
"AUS","GFCF","TOT","QGRWTH","Q","1985-Q3",4.098717112,
"AUS","GFCF","TOT","QGRWTH","Q","1985-Q4",-3.140992167,
"AUS","GFCF","TOT","QGRWTH","Q","1986-Q1",-0.646952584,
"AUS","GFCF","TOT","QGRWTH","Q","1986-Q2",0.453102531,
"AUS","GFCF","TOT","QGRWTH","Q","1986-Q3",-2.047320657,
"AUS","GFCF","TOT","QGRWTH","Q","1986-Q4",5.029504219,
"AUS","GFCF","TOT","QGRWTH","Q","1987-Q1",-3.675505382,
"AUS","GFCF","TOT","QGRWTH","Q","1987-Q2",5.775415645,
"AUS","GFCF","TOT","QGRWTH","Q","1987-Q3",-1.288360947,
"AUS","GFCF","TOT","QGRWTH","Q","1987-Q4",6.053407815,
"AUS","GFCF","TOT","QGRWTH","Q","1988-Q1",0.807324998,
"AUS","GFCF","TOT","QGRWTH","Q","1988-Q2",0.561578279,
"AUS","GFCF","TOT","QGRWTH","Q","1988-Q3",1.366969359,
"AUS","GFCF","TOT","QGRWTH","Q","1988-Q4",5.992957915,
"AUS","GFCF","TOT","QGRWTH","Q","1989-Q1",3.446249802,
"AUS","GFCF","TOT","QGRWTH","Q","1989-Q2",1.741087033,
"AUS","GFCF","TOT","QGRWTH","Q","1989-Q3",0.126682842,
"AUS","GFCF","TOT","QGRWTH","Q","1989-Q4",-3.008663579,
"AUS","GFCF","TOT","QGRWTH","Q","1990-Q1",-0.65886931,
"AUS","GFCF","TOT","QGRWTH","Q","1990-Q2",-3.910440453,
"AUS","GFCF","TOT","QGRWTH","Q","1990-Q3",-0.389123083,
"AUS","GFCF","TOT","QGRWTH","Q","1990-Q4",-3.559968377,
"AUS","GFCF","TOT","QGRWTH","Q","1991-Q1",-4.125376733,
"AUS","GFCF","TOT","QGRWTH","Q","1991-Q2",-2.778895483,
"AUS","GFCF","TOT","QGRWTH","Q","1991-Q3",0.931219121,
"AUS","GFCF","TOT","QGRWTH","Q","1991-Q4",0.002562854,
"AUS","GFCF","TOT","QGRWTH","Q","1992-Q1",0.056381343,
"AUS","GFCF","TOT","QGRWTH","Q","1992-Q2",0.691562932,
"AUS","GFCF","TOT","QGRWTH","Q","1992-Q3",0.819088319,
"AUS","GFCF","TOT","QGRWTH","Q","1992-Q4",8.475046677,
"AUS","GFCF","TOT","QGRWTH","Q","1993-Q1",-2.646942526,
"AUS","GFCF","TOT","QGRWTH","Q","1993-Q2",1.036913153,
"AUS","GFCF","TOT","QGRWTH","Q","1993-Q3",-1.023906926,
"AUS","GFCF","TOT","QGRWTH","Q","1993-Q4",2.995986239,
"AUS","GFCF","TOT","QGRWTH","Q","1994-Q1",3.115286476,
"AUS","GFCF","TOT","QGRWTH","Q","1994-Q2",5.754392279,
"AUS","GFCF","TOT","QGRWTH","Q","1994-Q3",4.590415009,
"AUS","GFCF","TOT","QGRWTH","Q","1994-Q4",2.605300087,
"AUS","GFCF","TOT","QGRWTH","Q","1995-Q1",-3.375619425,
"AUS","GFCF","TOT","QGRWTH","Q","1995-Q2",-2.523232199,
"AUS","GFCF","TOT","QGRWTH","Q","1995-Q3",7.16585643,
"AUS","GFCF","TOT","QGRWTH","Q","1995-Q4",-5.600722674,
"AUS","GFCF","TOT","QGRWTH","Q","1996-Q1",3.530268359,
"AUS","GFCF","TOT","QGRWTH","Q","1996-Q2",5.461450359,
"AUS","GFCF","TOT","QGRWTH","Q","1996-Q3",-4.849004477,
"AUS","GFCF","TOT","QGRWTH","Q","1996-Q4",3.816579896,
"AUS","GFCF","TOT","QGRWTH","Q","1997-Q1",6.933996837,
"AUS","GFCF","TOT","QGRWTH","Q","1997-Q2",3.490196786,
"AUS","GFCF","TOT","QGRWTH","Q","1997-Q3",-0.536809816,
"AUS","GFCF","TOT","QGRWTH","Q","1997-Q4",4.573491274,
"AUS","GFCF","TOT","QGRWTH","Q","1998-Q1",0.923288314,
"AUS","GFCF","TOT","QGRWTH","Q","1998-Q2",-2.834182869,
"AUS","GFCF","TOT","QGRWTH","Q","1998-Q3",3.116776597,
"AUS","GFCF","TOT","QGRWTH","Q","1998-Q4",3.584330362,
"AUS","GFCF","TOT","QGRWTH","Q","1999-Q1",-2.054104209,
"AUS","GFCF","TOT","QGRWTH","Q","1999-Q2",1.05675786,
"AUS","GFCF","TOT","QGRWTH","Q","1999-Q3",4.989332816,
"AUS","GFCF","TOT","QGRWTH","Q","1999-Q4",1.025262088,
"AUS","GFCF","TOT","QGRWTH","Q","2000-Q1",1.467428571,
"AUS","GFCF","TOT","QGRWTH","Q","2000-Q2",3.153721391,
"AUS","GFCF","TOT","QGRWTH","Q","2000-Q3",-5.254192872,
"AUS","GFCF","TOT","QGRWTH","Q","2000-Q4",-9.396272223,
"AUS","GFCF","TOT","QGRWTH","Q","2001-Q1",1.773963775,
"AUS","GFCF","TOT","QGRWTH","Q","2001-Q2",1.12647892,
"AUS","GFCF","TOT","QGRWTH","Q","2001-Q3",4.014105395,
"AUS","GFCF","TOT","QGRWTH","Q","2001-Q4",4.000190108,
"AUS","GFCF","TOT","QGRWTH","Q","2002-Q1",2.51648971,
"AUS","GFCF","TOT","QGRWTH","Q","2002-Q2",5.506768303,
"AUS","GFCF","TOT","QGRWTH","Q","2002-Q3",1.590028871,
"AUS","GFCF","TOT","QGRWTH","Q","2002-Q4",5.753181579,
"AUS","GFCF","TOT","QGRWTH","Q","2003-Q1",0.605631587,
